# $1: op_group
# $2: source_site
# $3: dx
# $4: dy
# $5: real
# $6: imag

0 0 0 1 -3.27766042513886080e-01 0.00000000000000000e+00
0 0 1 0 -3.27661101364490559e-01 0.00000000000000000e+00
0 1 0 1 -3.27766042513885913e-01 0.00000000000000000e+00
0 1 1 0 -3.27715601638951526e-01 0.00000000000000000e+00
0 2 0 1 -3.27821600500512511e-01 0.00000000000000000e+00
0 2 1 0 -3.27661101364490615e-01 0.00000000000000000e+00
0 3 0 1 -3.27821600500512345e-01 0.00000000000000000e+00
0 3 1 0 -3.27715601638951415e-01 0.00000000000000000e+00
1 0 0 1 1.67766433812086946e-01 0.00000000000000000e+00
1 0 1 0 1.67661492661247025e-01 0.00000000000000000e+00
1 1 0 1 1.67766433812086391e-01 0.00000000000000000e+00
1 1 1 0 1.67715992915391077e-01 0.00000000000000000e+00
1 2 0 1 1.67821991776953117e-01 0.00000000000000000e+00
1 2 1 0 1.67661492661248218e-01 0.00000000000000000e+00
1 3 0 1 1.67821991776952673e-01 0.00000000000000000e+00
1 3 1 0 1.67715992915392409e-01 0.00000000000000000e+00
2 0 0 1 9.40487363101598361e-02 0.00000000000000000e+00
2 0 1 0 9.38755416193342573e-02 0.00000000000000000e+00
2 1 0 1 9.40487363101602941e-02 0.00000000000000000e+00
2 1 1 0 9.39633343960460943e-02 0.00000000000000000e+00
2 2 0 1 9.41383030189074932e-02 0.00000000000000000e+00
2 2 1 0 9.38755416193328834e-02 0.00000000000000000e+00
2 3 0 1 9.41383030189080205e-02 0.00000000000000000e+00
2 3 1 0 9.39633343960446787e-02 0.00000000000000000e+00
3 0 0 1 -1.38541644582085705e-02 0.00000000000000000e+00
3 0 1 0 -1.36014724443020846e-02 0.00000000000000000e+00
3 1 0 1 -1.38541644582085531e-02 0.00000000000000000e+00
3 1 1 0 -1.37275279735458375e-02 0.00000000000000000e+00
3 2 0 1 -1.39826354356022888e-02 0.00000000000000000e+00
3 2 1 0 -1.36014724443019007e-02 0.00000000000000000e+00
3 3 0 1 -1.39826354356022923e-02 0.00000000000000000e+00
3 3 1 0 -1.37275279735455790e-02 0.00000000000000000e+00
